0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.777198014,-0.054070189,-0.351841902,-0.234324698,0.294555292,-0.71862562,-0.144050234,-0.105180298,-0.665910361,0.234030224,-0.683060051,-0.220717013,-0.378735251,0.791791138,0.421540559,0.08667072,-0.146598706,0.702088625,-0.652902187,-0.296014783
-0.054070189,0.924215545,0.541229898,-0.566770812,-0.126752407,-0.091077116,0.007085072,-0.029063944,-0.129452534,-0.33033405,0.089280159,0.187782699,-0.039516969,0.118344233,-0.34449146,0.412132343,-0.094470911,0.62623489,-0.60014928,-0.447253409
-0.351841902,0.541229898,0.944255271,0.755497095,0.206180404,0.127447044,0.474516208,0.192007953,-0.101738419,-0.236295626,-0.046842197,-0.680097583,0.297947623,-0.247058673,-0.370428553,-0.349870399,-0.017452548,0.262303487,-0.336267143,0.301604055
-0.234324698,-0.566770812,0.755497095,0.776970752,-0.206445051,-0.070938481,0.317599352,0.201365025,-0.395116794,-0.291525081,0.845699355,-0.407487491,0.3853668,-0.00578864,0.572028065,0.542990838,-0.024543816,0.321095923,-0.21547585,-0.403058084
0.294555292,-0.126752407,0.206180404,-0.206445051,0.195123664,-0.414510625,0.219137724,-0.151168939,-0.268751724,-0.579277166,0.283524322,0.070918718,0.206105622,-0.638489482,-0.391919129,0.152342033,-0.063550135,0.496748325,-0.677554688,-0.384157637
-0.71862562,-0.091077116,0.127447044,-0.070938481,-0.414510625,0.710942088,-0.086036728,0.209480103,0.143312776,-0.399725883,0.236281578,-0.399838354,0.503139709,0.148583392,0.528465421,0.125420415,0.601182043,0.385423909,0.394214677,-0.077029291
-0.144050234,0.007085072,0.474516208,0.317599352,0.219137724,-0.086036728,0.128510768,-0.38063896,0.378674788,0.069160913,-0.789568909,-0.101979854,-0.770653372,0.665770419,0.439721461,0.33581184,0.747716015,0.488353393,0.157888663,-0.448470187
-0.105180298,-0.029063944,0.192007953,0.201365025,-0.151168939,0.209480103,-0.38063896,0.268678916,-0.082112079,0.031339678,0.512519137,-0.512257705,0.150193172,-0.386040469,-0.017622753,0.146756981,0.001483706,-0.247317335,0.169796894,0.156507784
-0.665910361,-0.129452534,-0.101738419,-0.395116794,-0.268751724,0.143312776,0.378674788,-0.082112079,0.909640105,-0.100470326,0.019168834,-0.592489525,-0.080081683,0.695156292,0.45604953,-0.016340132,-0.159104189,0.118821889,-0.436068392,-0.120967149
0.234030224,-0.33033405,-0.236295626,-0.291525081,-0.579277166,-0.399725883,0.069160913,0.031339678,-0.100470326,0.371534074,-0.532505174,0.365793335,-0.146866,0.767041757,-0.089863442,0.07105496,-0.400241048,-0.22102455,0.845597178,0.034032642
-0.683060051,0.089280159,-0.046842197,0.845699355,0.283524322,0.236281578,-0.789568909,0.512519137,0.019168834,-0.532505174,0.598203805,-0.054479721,0.114796471,-0.009856206,-0.282020289,-0.275158693,-0.490304077,-0.373052233,0.161570197,0.541372978
-0.220717013,0.187782699,-0.680097583,-0.407487491,0.070918718,-0.399838354,-0.101979854,-0.512257705,-0.592489525,0.365793335,-0.054479721,0.109212718,0.334689515,0.273544667,-0.665484994,-0.690221675,-0.173485966,-0.151689837,-0.620941935,-0.619065234
-0.378735251,-0.039516969,0.297947623,0.3853668,0.206105622,0.503139709,-0.770653372,0.150193172,-0.080081683,-0.146866,0.114796471,0.334689515,0.028787624,0.676758949,-0.816619674,0.127442461,-0.374456673,-0.382243236,0.179446293,-0.698633633
0.791791138,0.118344233,-0.247058673,-0.00578864,-0.638489482,0.148583392,0.665770419,-0.386040469,0.695156292,0.767041757,-0.009856206,0.273544667,0.676758949,0.507269007,-0.559246561,-0.963083047,-0.615821822,-0.603509813,0.207956737,0.566279687
0.421540559,-0.34449146,-0.370428553,0.572028065,-0.391919129,0.528465421,0.439721461,-0.017622753,0.45604953,-0.089863442,-0.282020289,-0.665484994,-0.816619674,-0.559246561,0.806197201,-0.197778188,-0.086146987,-0.023461136,-0.122164985,0.136133055
0.08667072,0.412132343,-0.349870399,0.542990838,0.152342033,0.125420415,0.33581184,0.146756981,-0.016340132,0.07105496,-0.275158693,-0.690221675,0.127442461,-0.963083047,-0.197778188,0.255876233,-0.558167216,-0.368520114,-0.466950559,0.348952187
-0.146598706,-0.094470911,-0.017452548,-0.024543816,-0.063550135,0.601182043,0.747716015,0.001483706,-0.159104189,-0.400241048,-0.490304077,-0.173485966,-0.374456673,-0.615821822,-0.086146987,-0.558167216,0.719118516,-0.171745916,0.254439292,-0.339254523
0.702088625,0.62623489,0.262303487,0.321095923,0.496748325,0.385423909,0.488353393,-0.247317335,0.118821889,-0.22102455,-0.373052233,-0.151689837,-0.382243236,-0.603509813,-0.023461136,-0.368520114,-0.171745916,0.709606912,-0.18140043,-0.060185561
-0.652902187,-0.60014928,-0.336267143,-0.21547585,-0.677554688,0.394214677,0.157888663,0.169796894,-0.436068392,0.845597178,0.161570197,-0.620941935,0.179446293,0.207956737,-0.122164985,-0.466950559,0.254439292,-0.18140043,0.648992477,-0.957633886
-0.296014783,-0.447253409,0.301604055,-0.403058084,-0.384157637,-0.077029291,-0.448470187,0.156507784,-0.120967149,0.034032642,0.541372978,-0.619065234,-0.698633633,0.566279687,0.136133055,0.348952187,-0.339254523,-0.060185561,-0.957633886,0.087750131
